Source,Target,Value
Ai Kayano,Kenjiro Tsuda,1
Kenjiro Tsuda,Sayaka Ohara,1
Sayaka Ohara,Takehito Koyasu,2
Kareena Kapoor,Paresh Rawal,2
Kay Kay Menon,Paresh Rawal,2
Molly Shannon,Paul Giamatti,1
Kay Kay Menon,Naseeruddin Shah,1
Dermot Mulroney,Rob Riggle,1
Grey Griffin,Justin Long,1
Rie Kugimiya,Yuki Kaji,1
Anupam Kher,Om Puri,1
Hiroshi Kamiya,Rie Kugimiya,1
Fred Tatasciore,Mark Hamill,1
Grey Griffin,Mark Hamill,1
Anupam Kher,Naseeruddin Shah,3
Naseeruddin Shah,Shah Rukh Khan,4
Boman Irani,Naseeruddin Shah,1
Amitabh Bachchan,Anupam Kher,2
Paresh Rawal,Shah Rukh Khan,2
Grey Griffin,Keith David,1
Rie Kugimiya,Tetsuya Kakihara,2
Adam Scott,Molly Shannon,2
Saori Hayami,Tomokazu Sugita,1
Kana Hanazawa,Yoshitsugu Matsuoka,1
Tomokazu Sugita,Yoshitsugu Matsuoka,1
Andy Samberg,Fred Armisen,3
Miyuki Sawashiro,Saori Hayami,1
Elizabeth Banks,Janeane Garofalo,2
Elizabeth Banks,Jason Schwartzman,2
Elizabeth Banks,Molly Shannon,2
Janeane Garofalo,Jason Schwartzman,2
Adam Scott,Janeane Garofalo,2
Janeane Garofalo,Molly Shannon,2
Adam Scott,Jason Schwartzman,1
Jason Schwartzman,Molly Shannon,2
Adam Sandler,Nick Swardson,5
Adam Scott,Andy Samberg,1
Andy Samberg,Janeane Garofalo,1
Andy Samberg,Chris Parnell,2
Adam Scott,Will Forte,1
Janeane Garofalo,Will Forte,1
Fred Armisen,Will Forte,1
Chris Parnell,Will Forte,1
Adam Scott,Maya Rudolph,1
Janeane Garofalo,Maya Rudolph,1
Chris Parnell,Maya Rudolph,1
Adam Scott,Fred Armisen,1
Adam Scott,Chris Parnell,1
Fred Armisen,Janeane Garofalo,1
Chris Parnell,Janeane Garofalo,1
Kathy Bates,Patrick Warburton,1
Mamoru Miyano,Yoshimasa Hosoya,1
Jun Fukuyama,Yoshimasa Hosoya,1
Keith David,Mark Hamill,1
Keith David,Kevin Michael Richardson,1
Jun Fukuyama,Saori Hayami,1
Adam Sandler,Will Forte,1
Adam Sandler,Jon Lovitz,2
Adam Sandler,Danny Trejo,1
Jon Lovitz,Will Forte,1
Danny Trejo,Will Forte,1
Nick Swardson,Will Forte,1
Steve Buscemi,Will Forte,1
Danny Trejo,Jon Lovitz,1
Jon Lovitz,Nick Swardson,1
Jon Lovitz,Steve Buscemi,1
Danny Trejo,Nick Swardson,1
Danny Trejo,Steve Buscemi,2
Nick Swardson,Steve Buscemi,1
Elizabeth Banks,Jon Hamm,1
Janeane Garofalo,Jon Hamm,1
Jason Schwartzman,Jon Hamm,1
Jon Hamm,Molly Shannon,1
Fred Tatasciore,John C. Reilly,1
Michael Peña,Nick Swardson,1
Joseph Gordon-Levitt,Seth Rogen,1
Bryce Dallas Howard,Joseph Gordon-Levitt,1
Bryce Dallas Howard,Seth Rogen,1
Gerard Butler,Willem Dafoe,1
Alfred Molina,Gerard Butler,1
Anupam Kher,Gerard Butler,1
Alfred Molina,Willem Dafoe,1
Anupam Kher,Willem Dafoe,1
Alfred Molina,Anupam Kher,1
Dermot Mulroney,Jason Schwartzman,1
Gugu Mbatha-Raw,Michael Peña,1
Laurence Fishburne,Michael Peña,1
Bobby Cannavale,Michael Peña,1
Bobby Cannavale,Laurence Fishburne,1
Paul Giamatti,Tony Hale,1
Kari Wahlgren,Paul Giamatti,1
Jim Broadbent,Laura Linney,1
Jim Broadbent,Joan Cusack,1
Joan Cusack,Laura Linney,1
Adam Sandler,Guy Pearce,1
Guy Pearce,Nick Swardson,1
Anil Kapoor,Kareena Kapoor,1
John Travolta,Nick Swardson,1
John Travolta,Kari Wahlgren,1
Chloë Grace Moretz,John Travolta,1
Kari Wahlgren,Nick Swardson,1
Chloë Grace Moretz,Nick Swardson,1
Chloë Grace Moretz,Kari Wahlgren,1
Amitabh Bachchan,Boman Irani,1
John C. Reilly,Willem Dafoe,1
Jim Broadbent,Keith David,1
Michael Peña,Terrence Howard,1
Nicolas Cage,Willem Dafoe,1
Molly Shannon,Morgan Freeman,1
Sayaka Ohara,Tetsuya Kakihara,1
Rie Kugimiya,Yuichi Nakamura,1
Katsuyuki Konishi,Rie Kugimiya,1
Sayaka Ohara,Yuichi Nakamura,1
Eri Kitamura,Yuichi Nakamura,1
Katsuyuki Konishi,Sayaka Ohara,2
Kathy Bates,Paul Giamatti,1
Elizabeth Banks,Paul Giamatti,1
Elizabeth Banks,Kathy Bates,1
Nicolas Cage,Steve Buscemi,1
Jim Broadbent,John C. Reilly,1
Kaito Ishikawa,Sayaka Ohara,1
Kaito Ishikawa,Tomokazu Sugita,1
Ai Kayano,Sayaka Ohara,1
Ai Kayano,Katsuyuki Konishi,2
Sayaka Ohara,Tomokazu Sugita,1
Katsuyuki Konishi,Tomokazu Sugita,2
Anil Kapoor,Anupam Kher,2
Anupam Kher,Paresh Rawal,1
Adam Sandler,Andy Samberg,1
Adam Sandler,Molly Shannon,1
Andy Samberg,Steve Buscemi,1
Andy Samberg,Molly Shannon,1
Molly Shannon,Steve Buscemi,2
Fred Tatasciore,Kari Wahlgren,1
Kenjiro Tsuda,Tomokazu Sugita,1
Kenjiro Tsuda,Yuichi Nakamura,1
Kenjiro Tsuda,Miyuki Sawashiro,1
Kenjiro Tsuda,Tetsuya Kakihara,1
Tetsuya Kakihara,Tomokazu Sugita,1
Takahiro Sakurai,Tetsuya Kakihara,1
Eri Kitamura,Takehito Koyasu,1
Kathy Bates,Rosario Dawson,1
Bryce Dallas Howard,Paul Giamatti,1
Daisuke Ono,Yoko Hikasa,1
Amitabh Bachchan,Anil Kapoor,1
Naseeruddin Shah,Om Puri,1
Patrick Warburton,Rosario Dawson,1
Dennis Quaid,Liev Schreiber,1
Dennis Quaid,Naomi Watts,1
Bobby Cannavale,Dennis Quaid,1
Dennis Quaid,Justin Long,1
Chloë Grace Moretz,Dennis Quaid,1
Dennis Quaid,Patrick Warburton,1
Dennis Quaid,Terrence Howard,1
Dennis Quaid,Elizabeth Banks,1
Liev Schreiber,Naomi Watts,2
Bobby Cannavale,Liev Schreiber,1
Justin Long,Liev Schreiber,1
Chloë Grace Moretz,Liev Schreiber,1
Liev Schreiber,Patrick Warburton,2
Gerard Butler,Liev Schreiber,1
Elizabeth Banks,Liev Schreiber,1
Bobby Cannavale,Naomi Watts,1
Justin Long,Naomi Watts,1
Chloë Grace Moretz,Naomi Watts,1
Naomi Watts,Patrick Warburton,1
Gerard Butler,Naomi Watts,1
Naomi Watts,Terrence Howard,1
Elizabeth Banks,Naomi Watts,1
Bobby Cannavale,Justin Long,1
Bobby Cannavale,Chloë Grace Moretz,1
Bobby Cannavale,Patrick Warburton,1
Bobby Cannavale,Gerard Butler,1
Bobby Cannavale,Terrence Howard,1
Bobby Cannavale,Elizabeth Banks,1
Chloë Grace Moretz,Justin Long,1
Justin Long,Patrick Warburton,1
Gerard Butler,Justin Long,1
Justin Long,Terrence Howard,1
Chloë Grace Moretz,Patrick Warburton,1
Chloë Grace Moretz,Gerard Butler,1
Chloë Grace Moretz,Terrence Howard,1
Chloë Grace Moretz,Elizabeth Banks,1
Gerard Butler,Patrick Warburton,1
Patrick Warburton,Terrence Howard,1
Elizabeth Banks,Patrick Warburton,1
Gerard Butler,Terrence Howard,1
Elizabeth Banks,Gerard Butler,1
Elizabeth Banks,Terrence Howard,1
Jon Lovitz,Samuel L. Jackson,1
Anil Kapoor,Boman Irani,2
Gerard Butler,Kathy Bates,1
Keith David,Willem Dafoe,1
Anil Kapoor,Om Puri,1
John Travolta,Samuel L. Jackson,1
Bruce Willis,John Travolta,1
Bruce Willis,Samuel L. Jackson,1
Jason Schwartzman,Paul Giamatti,1
Ben Kingsley,Laurence Fishburne,1
Ben Kingsley,Laura Linney,1
Bryce Dallas Howard,James Franco,1
James Cromwell,James Franco,1
Elizabeth Banks,James Franco,1
Bryce Dallas Howard,James Cromwell,1
Bryce Dallas Howard,Elizabeth Banks,1
Elizabeth Banks,James Cromwell,1
Liev Schreiber,Nicolas Cage,1
Joseph Gordon-Levitt,Mark Hamill,1
Adam Scott,John C. Reilly,1
John C. Reilly,Rob Riggle,1
Adam Scott,Rob Riggle,1
Amitabh Bachchan,Ben Kingsley,1
Jon Hamm,Paul Giamatti,1
Fred Armisen,John C. Reilly,1
Fred Armisen,Molly Shannon,1
James Franco,Paul Giamatti,1
Keith David,Terrence Howard,1
Fred Tatasciore,Keith David,1
Fred Tatasciore,Terrence Howard,1
Adam Sandler,Kathy Bates,1
Kari Wahlgren,Rosario Dawson,1
Anil Kapoor,Shah Rukh Khan,1
Maya Rudolph,Paul Giamatti,1
Paul Giamatti,Samuel L. Jackson,1
Michael Peña,Paul Giamatti,1
Maya Rudolph,Samuel L. Jackson,1
Maya Rudolph,Michael Peña,1
Michael Peña,Samuel L. Jackson,1
Michael Peña,Nicolas Cage,1
Danny Trejo,Samuel L. Jackson,1
Samuel L. Jackson,Willem Dafoe,1
