id,country,genres_list,Community,Degree_norm,PageRank_norm,Closeness_norm,Betweenness_norm
International Movies,,"Alfonso Herrera, Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Edgar Ramírez, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, Hugh Bonneville, J.K. Simmons, James Cromwell, Jason Isaacs, Jay Baruchel, Jim Broadbent, Keith David, Nicholas Hoult, Penélope Cruz, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon, Yuki Kaji",3,0.6304347826086957,0.6310143911756663,0.6092923280423281,0.45496634741267694
TV Shows,,Yuki Kaji,3,0.0,0.0,0.0,0.0
Terry Crews,"Brazil, Canada, Japan, South Korea, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, Reality TV, Thrillers",4,0.15217391304347827,0.15533450430734683,0.3694165270798438,0.27996751383911184
Alison Pill,"Canada, France, Japan, South Korea, United Kingdom, United States","Action & Adventure, Comedies, Cult Movies, Dramas, Independent Movies, International Movies, LGBTQ Movies, Sports Movies, TV Horror, TV Mysteries, TV Thrillers, Thrillers",3,0.2391304347826087,0.22800711318344538,0.4238656195462478,0.08966511049735405
Susan Sarandon,"Canada, France, South Korea, United Kingdom, United States","Action & Adventure, Children & Family Movies, Comedies, Documentaries, Dramas, Independent Movies, International Movies, Kids' TV, LGBTQ Movies, Sci-Fi & Fantasy, TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows",2,0.2608695652173913,0.248551436640644,0.43819811875367426,0.1503545530700143
Radhika Apte,"Japan, United Kingdom, United States","Action & Adventure, Comedies, Crime TV Shows, Dramas, Faith & Spirituality, Independent Movies, International Movies, International TV Shows, Romantic Movies, TV Dramas, TV Horror, Thrillers",1,0.2391304347826087,0.22246659589486967,0.4238656195462478,0.09220941269729215
Bob Balaban,"Canada, Italy, United Kingdom, United States","Comedies, Crime TV Shows, Docuseries, Dramas, Horror Movies, International Movies, Romantic Movies, Sci-Fi & Fantasy, TV Comedies, TV Dramas, Teen TV Shows, Thrillers",1,0.2391304347826087,0.22715659518398687,0.4238656195462478,0.16506869811449798
Romantic TV Shows,,"Alfonso Herrera, Guy Pearce, Keegan-Michael Key, Mike Vogel, Richard Armitage, Stephanie Sheh, Yuki Kaji",3,0.13043478260869565,0.13634682228491052,0.2040692007797271,0.027222795034662253
John Cleese,"Australia, Canada, Japan, South Korea, Spain, United Kingdom, United States","Action & Adventure, British TV Shows, Children & Family Movies, Classic & Cult TV, Classic Movies, Comedies, Cult Movies, Documentaries, Docuseries, International TV Shows, Sci-Fi & Fantasy, TV Comedies",3,0.2391304347826087,0.23288705955128092,0.4238656195462478,0.05222940130231813
Hugh Bonneville,"France, United Kingdom, United States","British TV Shows, Children & Family Movies, Comedies, Documentaries, Docuseries, Dramas, Faith & Spirituality, International Movies, International TV Shows, Music & Musicals, Stand-Up Comedy, TV Comedies, TV Dramas",1,0.2608695652173913,0.27356873064032655,0.43819811875367426,0.15202073706608313
TV Dramas,,"Alfonso Herrera, Bob Balaban, Chris O'Dowd, Edgar Ramírez, Helena Bonham Carter, Hugh Bonneville, James Cromwell, Jason Isaacs, Joe Pantoliano, John Leguizamo, Keegan-Michael Key, Keith David, Kiernan Shipka, Laura Linney, Mae Whitman, Martin Sheen, Mike Vogel, Penélope Cruz, Radhika Apte, Richard Armitage, Ron Perlman, Steven Yeun",1,0.45652173913043476,0.45095547912614425,0.43099415204678365,0.1798492506857551
Documentaries,,"Helen Mirren, Hugh Bonneville, Jason Isaacs, Jay Baruchel, John Cleese, Laura Linney, Michael Palin, Morgan Freeman, Samuel L. Jackson, Stephen Fry, Susan Sarandon",4,0.21739130434782608,0.21433578441893059,0.26710390946502055,0.059574868103187524
Johnny Depp,"Canada, France, Italy, United Kingdom, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Cult Movies, Dramas, Horror Movies, Independent Movies, Music & Musicals, Romantic Movies, Sci-Fi & Fantasy, Thrillers",0,0.2391304347826087,0.217444956814362,0.4238656195462478,0.0896705126890997
Mae Whitman,"Australia, Canada, Japan, United Kingdom, United States","Action & Adventure, Children & Family Movies, Classic & Cult TV, Comedies, Crime TV Shows, Cult Movies, Dramas, Independent Movies, Kids' TV, LGBTQ Movies, Romantic Movies, TV Action & Adventure, TV Comedies, TV Dramas",2,0.2826086956521739,0.26752331473891794,0.45283719548425433,0.12532133162876585
Helena Bonham Carter,"Australia, France, Italy, Japan, United Kingdom, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Dramas, Horror Movies, Independent Movies, International Movies, Music & Musicals, Sci-Fi & Fantasy, TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",0,0.2608695652173913,0.23888122260959008,0.43819811875367426,0.11854289384982669
Kids' TV,,"Antonio Banderas, Chris O'Dowd, Fred Tatasciore, Gary Cole, J.K. Simmons, Jay Baruchel, Keegan-Michael Key, Keith David, Kiernan Shipka, Mae Whitman, Ron Perlman, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon",2,0.30434782608695654,0.29845969636916514,0.3252427184466019,0.09791991571255947
TV Thrillers,,"Alison Pill, Edgar Ramírez, Emma Roberts, James Cromwell, John Leguizamo, Laura Linney, Laurence Fishburne, Penélope Cruz, Richard Armitage",1,0.17391304347826086,0.1700488355243687,0.17497625830959168,0.023863202932271656
Dramas,,"Alfonso Herrera, Alison Pill, Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Bob Balaban, Chris O'Dowd, Edgar Ramírez, Emma Roberts, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, Hugh Bonneville, J.K. Simmons, James Cromwell, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Jim Broadbent, Joe Pantoliano, John Leguizamo, Johnny Depp, Keegan-Michael Key, Keith David, Kiernan Shipka, Laura Linney, Laurence Fishburne, Mae Whitman, Martin Sheen, Michael Palin, Mike Vogel, Morgan Freeman, Nicholas Hoult, Penélope Cruz, Radhika Apte, Richard Armitage, Ron Perlman, Sam Neill, Samuel L. Jackson, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon, Sylvester Stallone, Terry Crews",1,1.0,1.0,1.0,0.9058286949495705
LGBTQ Movies,,"Alison Pill, Antonio Banderas, Emma Roberts, Guy Pearce, John Leguizamo, Keegan-Michael Key, Kiernan Shipka, Laura Linney, Mae Whitman, Nicholas Hoult, Susan Sarandon",2,0.21739130434782608,0.20783570173711405,0.25611620795107043,0.04030748191935662
Mike Vogel,"Australia, United States","Action & Adventure, Comedies, Crime TV Shows, Dramas, Faith & Spirituality, Horror Movies, Independent Movies, Romantic Movies, Romantic TV Shows, Sci-Fi & Fantasy, TV Dramas, TV Horror, Thrillers",1,0.2608695652173913,0.24791407003274588,0.43819811875367426,0.11385718601361268
Reality TV,,"Sylvester Stallone, Terry Crews",4,0.021739130434782608,0.022527722212632106,0.0,0.0001490104602719134
Emma Roberts,"Canada, France, Spain, United Kingdom, United States","Children & Family Movies, Comedies, Dramas, Horror Movies, Independent Movies, LGBTQ Movies, Romantic Movies, Sci-Fi & Fantasy, TV Horror, TV Mysteries, TV Thrillers, Thrillers",1,0.2391304347826087,0.22449018330382126,0.4238656195462478,0.06773537054681696
Stand-Up Comedy,,"Hugh Bonneville, John Leguizamo",1,0.021739130434782608,0.017455695463871775,0.07996961805555562,0.0002898270257641851
Gary Cole,"Canada, France, Japan, United States","Action & Adventure, Children & Family Movies, Classic Movies, Comedies, Crime TV Shows, Dramas, Horror Movies, Independent Movies, International Movies, Kids' TV, Sports Movies, TV Action & Adventure, TV Comedies, TV Horror, TV Sci-Fi & Fantasy, Thrillers",2,0.32608695652173914,0.3043541688680991,0.4830752884031572,0.16200451487918863
Children & Family Movies,,"Antonio Banderas, Anupam Kher, Ben Kingsley, Ben Whishaw, Edgar Ramírez, Emma Roberts, Fred Tatasciore, Gary Cole, Guy Pearce, Helen Mirren, Helena Bonham Carter, Hugh Bonneville, J.K. Simmons, Jason Isaacs, Jason Schwartzman, Jay Baruchel, Jim Broadbent, Joe Pantoliano, John Cleese, John Leguizamo, Johnny Depp, Keegan-Michael Key, Keith David, Kiernan Shipka, Laura Linney, Laurence Fishburne, Mae Whitman, Martin Sheen, Michael Palin, Morgan Freeman, Nicholas Hoult, Penélope Cruz, Ron Perlman, Sam Neill, Samuel L. Jackson, Stephanie Sheh, Stephen Fry, Steven Yeun, Susan Sarandon, Sylvester Stallone, Terry Crews, Yuki Kaji",2,0.8913043478260869,0.8960624887708117,0.8912363067292643,0.8764124650173496
