Actor,Degree,Appearances
Ming-Na Wen,72,5
Kyle Breitkopf,72,4
Ólafur Darri Ólafsson,72,4
Lili Taylor,72,7
Manu Rishi Chadha,72,9
Sonam Kapoor,72,10
Daniel Rigby,72,3
Alexx Ekubo,71,9
Ludacris,71,8
Jude Law,71,7
Ashton Kutcher,71,7
Cody Cameron,71,4
Vivek Oberoi,71,10
Maggie Smith,71,5
Macarena García,71,6
Scott Adkins,71,9
Christopher Walken,71,7
Shannon Chan-Kent,71,10
Danai Gurira,71,4
Diego Luna,71,7
Robert Pattinson,71,12
Hugh Laurie,71,6
Fred Melamed,71,5
Sora Amamiya,71,7
Laura Dern,71,7
Jason Bateman,71,8
Dave Bautista,71,6
T.I.,71,8
Rafe Spall,71,4
Jon Favreau,71,8
Robbie Coltrane,71,4
Aya Hirano,71,5
Toru Okawa,71,6
Kana Ueda,71,6
Melanie Lynskey,71,8
Vanessa Hudgens,70,8
Jill Talley,70,5
Nana Mizuki,70,7
Michiel Huisman,70,8
James Hong,70,9
Vanessa Redgrave,70,6
Martin Short,70,9
Sunil Shetty,70,11
Bill Smitrovich,70,7
Boyd Holbrook,70,4
Oliver Platt,70,8
Thomas Jane,70,9
Keith Silverstein,70,9
Supriya Pathak,70,10
Kenyu Horiuchi,70,7
Ireti Doyle,70,9
Laverne Cox,70,3
Jake Johnson,70,8
Pamela Reed,70,6
Jason Mantzoukas,70,7
Paul Reiser,70,8
Ayako Kawasumi,70,7
Doug Jones,70,7
Lily Collins,70,7
Jeremy Lindsay Taylor,70,3
Marsha Stephanie Blake,70,3
Christina Ricci,70,7
Nobunaga Shimazaki,70,10
Ron Funches,70,6
Rupert Everett,70,3
Prem Chopra,70,10
David Theune,70,3
Alex Lawther,70,3
David Strathairn,70,8
Sola Sobowale,69,9
Wataru Hatano,69,3
Himani Shivpuri,69,8
Jennifer Jason Leigh,69,9
John Lithgow,69,6
Scott Porter,69,7
Imelda Staunton,69,3
Gael García Bernal,69,8
Satish Kaushik,69,8
Graham McTavish,69,6
Mukesh Tiwari,69,10
Tom Hardy,69,6
José Coronado,69,7
Adina Porter,69,4
Deepak Dobriyal,69,9
Rob Lowe,69,7
Stephen Campbell Moore,69,7
T.J. Miller,69,10
Omari Hardwick,69,7
Sonali Kulkarni,69,10
Toshiyuki Toyonaga,69,5
Helen Hunt,69,5
Rani Mukerji,69,11
Will Sasso,69,5
Scarlett Johansson,69,6
Amrita Rao,69,10
Shreyas Talpade,69,10
Ángela Molina,69,6
Bradley Whitford,69,7
Brie Larson,69,7
Thomas Mann,69,8
Allen Covert,69,6
Blanca Suárez,68,7
John Turturro,68,7
Soichiro Hoshi,68,5
Lily Tomlin,68,5
Bayoumi Fouad,68,10
Burt Reynolds,68,6
Vinnie Jones,68,8
Jeremy Piven,68,5
Michelle Rodriguez,68,6
Michelle Ruff,68,4
John Cusack,68,8
Nelsan Ellis,68,5
Kalki Koechlin,68,10
Emma Thompson,68,6
Kimberly Williams-Paisley,68,5
Zakir Hussain,68,10
Peter Vack,68,3
Karen Strassman,68,8
Steve Carell,68,6
Bruce Dern,68,10
Kouki Uchiyama,68,6
Tania Dutel,68,2
Jason Brokerss,68,2
Al Pacino,68,8
Ben Diskin,67,9
Channing Tatum,67,7
Charlie Murphy,67,5
Asami Seto,67,6
Robin Wright,67,6
Dwayne Johnson,67,5
Jamie Foxx,67,7
Mark Wahlberg,67,8
Jay Baruchel,67,11
Ben Affleck,67,8
Jimmi Simpson,67,4
Harland Williams,67,6
Johnathon Schaech,67,7
Derek Jacobi,67,6
Arturo Castro,67,4
Nick Nolte,67,6
Retta,67,7
Denis O'Hare,67,4
Ed Helms,67,8
Iko Uwais,67,8
Michael Palin,67,16
Michael Dobson,67,8
Yul Vazquez,67,6
Chris D'Elia,67,6
Timothy Olyphant,66,6
Chie Nakamura,66,10
Akira Ishida,66,6
Adesua Etomi,66,10
Wanda Sykes,66,9
Nasir 'Nas' Jones,66,4
Graham Greene,66,4
Arjun Rampal,66,11
Rajendranath Zutshi,66,9
Theo James,66,6
Tuppence Middleton,66,6
Michael Gambon,66,6
Michael Rapaport,66,5
Charlie Sheen,66,7
Chris Cooper,66,6
Bella Thorne,66,7
Nozomu Sasaki,66,3
Kate Mara,66,6
Takuya Sato,66,3
Robert Forster,66,8
Mira Sorvino,66,6
Aaron Eckhart,66,7
Michelle Buteau,66,8
Riaad Moosa,66,3
Hannah Gadsby,66,4
Reza Rahadian,66,10
Joross Gamboa,66,9
Lily Rabe,66,5
Chloe Pirrie,66,3
Russell Brand,66,6
Chris Lowell,66,4
Purab Kohli,66,8
Lindsay Duncan,66,3
John Slattery,66,4
Logan Marshall-Green,65,7
Aishwarya Rai Bachchan,65,9
Patrick Stewart,65,7
Kerry Shale,65,4
Queen Latifah,65,6
Stellan Skarsgård,65,8
Famke Janssen,65,6
Chafurin,65,5
Reese Witherspoon,65,8
Joe Don Baker,65,7
Eric Bana,65,6
Misaki Kuno,65,6
John Boyega,65,4
Rachel McAdams,65,7
Toni Collette,65,9
Ron Livingston,65,7
Karra Elejalde,65,7
Frances Conroy,65,4
Govind Namdeo,65,9
John Doman,65,5
Ajay Naidu,65,3
David Bradley,65,6
Jai Courtney,65,5
Alistair McGowan,65,2
Vikram Gokhale,65,9
Shraddha Kapoor,65,10
Sanjay Kapoor,65,7
Donal Logue,65,5
Chris Chalk,65,5
Bridget Hoffman,65,2
William Fichtner,65,6
Henry Thomas,64,7
Kemi Lala Akindoju,64,7
Ethan Hawke,64,7
Cliff Curtis,64,7
Motoko Kumai,64,4
Natalie Portman,64,7
Emraan Hashmi,64,10
Kangana Ranaut,64,9
Olga Kurylenko,64,7
Femi Adebayo,64,8
Juan Pablo Urrego,64,6
James Arnold Taylor,64,7
Peter Facinelli,64,11
Kehinde Bankole,64,7
Makrand Deshpande,64,9
Katherine Heigl,64,6
Lam Suet,64,9
Junko Minagawa,64,4
Molly Parker,64,7
Alessandro Juliani,64,17
Jason Ritter,64,6
Neena Gupta,64,8
Gary Anthony Williams,64,4
Jeffrey Wright,64,8
Javed Jaffrey,64,9
Malin Akerman,64,6
Sunita Mani,64,2
Asante Blackk,64,2
Eréndira Ibarra,64,5
Tamsin Greig,64,4
Adam Driver,64,5
Eva Mendes,63,7
Masaki Terasoma,63,6
Hirofumi Nojima,63,3
Jeffrey Tambor,63,7
Nse Ikpe-Etim,63,8
Samy Maghawry,63,8
Falz,63,8
Ernesto Alterio,63,7
Charlie Tahan,63,6
Yuuichirou Umehara,63,6
Elle Fanning,63,8
Jesse Eisenberg,63,8
Clive Owen,63,7
Brad Pitt,63,8
Wilmer Valderrama,63,7
Dale Dickey,63,7
Sofía Vergara,63,5
Mare Winningham,63,3
Adriana Barraza,63,4
Stephen Fry,63,12
Harriet Walter,63,6
Jackie Sandler,63,4
Francesc Orella,63,6
Zac Efron,63,7
Danny Denzongpa,63,9
Karisma Kapoor,63,9
Kate del Castillo,63,5
Bellamy Young,63,3
David Denman,63,3
Owen Teague,63,2
Letitia Wright,63,2
Malachi Kirby,63,2
Richard E. Grant,63,5
Juan Pablo Shuk,63,3
Elise Neal,63,7
Luis Ernesto Franco,62,5
Michael Keaton,62,7
Jonathan Banks,62,6
Gerald McRaney,62,3
Beverly Naya,62,10
Molly Ringwald,62,7
